Price,Adj Close,Close,High,Low,Open,Volume
Ticker,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS,DIVISLAB.NS
Datetime,,,,,,
2026-04-23 03:45:00+00:00,6300.0,6300.0,6300.0,6265.0,6265.0,0
2026-04-23 03:46:00+00:00,6317.5,6317.5,6317.5,6299.5,6299.5,8271
2026-04-23 03:47:00+00:00,6313.0,6313.0,6330.0,6313.0,6325.0,2301
2026-04-23 03:48:00+00:00,6307.5,6307.5,6316.0,6300.0,6316.0,1277
2026-04-23 03:49:00+00:00,6316.0,6316.0,6317.0,6308.5,6308.5,618
2026-04-23 03:50:00+00:00,6321.0,6321.0,6321.0,6315.5,6316.5,1211
2026-04-23 03:51:00+00:00,6313.0,6313.0,6320.5,6313.0,6320.0,1331
2026-04-23 03:52:00+00:00,6306.0,6306.0,6315.0,6300.0,6315.0,1034
2026-04-23 03:53:00+00:00,6309.5,6309.5,6312.5,6307.0,6307.0,302
2026-04-23 03:54:00+00:00,6319.5,6319.5,6319.5,6312.0,6312.0,6471
2026-04-23 03:55:00+00:00,6316.0,6316.0,6325.5,6316.0,6318.5,1457
2026-04-23 03:56:00+00:00,6318.0,6318.0,6319.0,6313.5,6315.0,466
2026-04-23 03:57:00+00:00,6308.5,6308.5,6319.0,6308.5,6319.0,159
2026-04-23 03:58:00+00:00,6310.0,6310.0,6314.5,6310.0,6311.0,284
2026-04-23 03:59:00+00:00,6313.5,6313.5,6321.5,6313.5,6313.5,573
2026-04-23 04:00:00+00:00,6315.5,6315.5,6315.5,6310.5,6313.5,165
2026-04-23 04:01:00+00:00,6314.5,6314.5,6319.0,6314.5,6316.0,557
2026-04-23 04:02:00+00:00,6328.0,6328.0,6328.0,6318.0,6318.0,3146
2026-04-23 04:03:00+00:00,6326.0,6326.0,6330.0,6326.0,6329.0,1115
2026-04-23 04:04:00+00:00,6336.0,6336.0,6336.0,6327.0,6329.0,3733
2026-04-23 04:05:00+00:00,6339.5,6339.5,6343.0,6338.5,6340.0,970
2026-04-23 04:06:00+00:00,6333.5,6333.5,6344.5,6331.5,6341.5,1387
2026-04-23 04:07:00+00:00,6335.0,6335.0,6337.5,6332.0,6332.5,952
2026-04-23 04:08:00+00:00,6332.0,6332.0,6334.0,6326.5,6334.0,918
2026-04-23 04:09:00+00:00,6356.0,6356.0,6356.0,6336.0,6336.0,4913
2026-04-23 04:10:00+00:00,6359.0,6359.0,6361.0,6355.5,6358.0,4704
2026-04-23 04:11:00+00:00,6367.0,6367.0,6369.0,6360.5,6360.5,2074
2026-04-23 04:12:00+00:00,6364.0,6364.0,6375.0,6364.0,6369.0,2287
2026-04-23 04:13:00+00:00,6393.0,6393.0,6394.5,6368.0,6370.5,4799
2026-04-23 04:14:00+00:00,6430.0,6430.0,6433.5,6390.5,6390.5,9480
2026-04-23 04:15:00+00:00,6431.5,6431.5,6445.0,6430.0,6433.5,11006
2026-04-23 04:16:00+00:00,6441.0,6441.0,6445.0,6432.5,6432.5,2926
2026-04-23 04:17:00+00:00,6444.5,6444.5,6448.0,6435.0,6442.0,6362
2026-04-23 04:18:00+00:00,6451.0,6451.0,6455.0,6445.0,6446.0,9380
2026-04-23 04:19:00+00:00,6451.0,6451.0,6458.5,6447.5,6450.5,4726
2026-04-23 04:20:00+00:00,6450.0,6450.0,6456.5,6448.0,6454.5,1752
2026-04-23 04:21:00+00:00,6450.0,6450.0,6454.0,6446.5,6451.0,4112
2026-04-23 04:22:00+00:00,6457.0,6457.0,6458.0,6450.0,6451.0,3121
2026-04-23 04:23:00+00:00,6460.5,6460.5,6466.0,6453.5,6457.0,5262
2026-04-23 04:24:00+00:00,6453.0,6453.0,6459.5,6452.0,6459.5,4175
2026-04-23 04:25:00+00:00,6423.0,6423.0,6453.0,6422.0,6453.0,5304
2026-04-23 04:26:00+00:00,6418.5,6418.5,6428.5,6418.0,6421.0,2463
2026-04-23 04:27:00+00:00,6418.0,6418.0,6421.5,6418.0,6419.5,1555
2026-04-23 04:28:00+00:00,6414.0,6414.0,6418.5,6414.0,6418.5,864
2026-04-23 04:29:00+00:00,6409.0,6409.0,6412.0,6407.0,6411.0,1079
2026-04-23 04:30:00+00:00,6414.0,6414.0,6420.0,6414.0,6415.0,2135
2026-04-23 04:31:00+00:00,6408.0,6408.0,6415.5,6401.0,6414.0,1130
2026-04-23 04:32:00+00:00,6418.0,6418.0,6418.0,6406.0,6406.0,523
2026-04-23 04:33:00+00:00,6407.0,6407.0,6418.5,6397.0,6417.0,4085
2026-04-23 04:34:00+00:00,6418.0,6418.0,6420.5,6407.0,6410.0,2795
2026-04-23 04:35:00+00:00,6428.0,6428.0,6428.0,6416.0,6416.0,1869
2026-04-23 04:36:00+00:00,6430.0,6430.0,6435.0,6422.5,6426.0,3045
2026-04-23 04:37:00+00:00,6430.5,6430.5,6434.0,6428.5,6430.0,1179
2026-04-23 04:38:00+00:00,6435.0,6435.0,6437.0,6430.0,6430.0,1709
2026-04-23 04:39:00+00:00,6430.0,6430.0,6439.0,6430.0,6433.5,1049
2026-04-23 04:40:00+00:00,6433.5,6433.5,6435.0,6430.0,6430.0,478
2026-04-23 04:41:00+00:00,6440.0,6440.0,6440.0,6433.5,6433.5,2411
2026-04-23 04:42:00+00:00,6440.0,6440.0,6445.0,6437.5,6437.5,1312
2026-04-23 04:43:00+00:00,6437.0,6437.0,6444.5,6437.0,6441.0,1938
2026-04-23 04:44:00+00:00,6452.0,6452.0,6452.0,6440.5,6441.0,2203
