Price,Adj Close,Close,High,Low,Open,Volume
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Datetime,,,,,,
2026-04-23 03:45:00+00:00,371.6499938964844,371.6499938964844,373.45001220703125,370.25,373.45001220703125,0
2026-04-23 03:46:00+00:00,372.1499938964844,372.1499938964844,372.1499938964844,371.0,371.6000061035156,222925
2026-04-23 03:47:00+00:00,373.04998779296875,373.04998779296875,373.04998779296875,372.29998779296875,372.29998779296875,206850
2026-04-23 03:48:00+00:00,372.6499938964844,372.6499938964844,373.29998779296875,372.45001220703125,373.1499938964844,194540
2026-04-23 03:49:00+00:00,373.0,373.0,373.3999938964844,372.5,373.0,183050
2026-04-23 03:50:00+00:00,373.25,373.25,373.25,372.8500061035156,373.20001220703125,64128
2026-04-23 03:51:00+00:00,374.1499938964844,374.1499938964844,374.1499938964844,373.04998779296875,373.3500061035156,234376
2026-04-23 03:52:00+00:00,374.3500061035156,374.3500061035156,374.70001220703125,373.8999938964844,373.8999938964844,95337
2026-04-23 03:53:00+00:00,373.79998779296875,373.79998779296875,374.6000061035156,373.6499938964844,374.1499938964844,278036
2026-04-23 03:54:00+00:00,373.1499938964844,373.1499938964844,374.1499938964844,373.0,374.1499938964844,116964
2026-04-23 03:55:00+00:00,373.8500061035156,373.8500061035156,374.0,373.0,373.04998779296875,65981
2026-04-23 03:56:00+00:00,374.0,374.0,374.04998779296875,373.6499938964844,374.0,38818
2026-04-23 03:57:00+00:00,374.25,374.25,374.29998779296875,373.8500061035156,374.0,21498
2026-04-23 03:58:00+00:00,374.8999938964844,374.8999938964844,375.04998779296875,374.25,374.25,40518
2026-04-23 03:59:00+00:00,374.8999938964844,374.8999938964844,375.25,374.8999938964844,375.0,36041
2026-04-23 04:00:00+00:00,375.25,375.25,375.25,374.8999938964844,374.95001220703125,57525
2026-04-23 04:01:00+00:00,375.45001220703125,375.45001220703125,375.8500061035156,375.20001220703125,375.20001220703125,52937
2026-04-23 04:02:00+00:00,375.25,375.25,375.3500061035156,375.1499938964844,375.3500061035156,17491
2026-04-23 04:03:00+00:00,373.8500061035156,373.8500061035156,375.1499938964844,373.8500061035156,375.1499938964844,32360
2026-04-23 04:04:00+00:00,374.1000061035156,374.1000061035156,374.5,374.0,374.0,29983
2026-04-23 04:05:00+00:00,374.25,374.25,374.3999938964844,374.0,374.0,13962
2026-04-23 04:06:00+00:00,374.29998779296875,374.29998779296875,374.29998779296875,374.0,374.1000061035156,12780
2026-04-23 04:07:00+00:00,374.70001220703125,374.70001220703125,374.70001220703125,374.29998779296875,374.29998779296875,46537
2026-04-23 04:08:00+00:00,374.25,374.25,374.70001220703125,374.20001220703125,374.70001220703125,15564
2026-04-23 04:09:00+00:00,374.3500061035156,374.3500061035156,374.5,374.25,374.25,17861
2026-04-23 04:10:00+00:00,373.95001220703125,373.95001220703125,374.1499938964844,373.8999938964844,374.1499938964844,27945
2026-04-23 04:11:00+00:00,374.75,374.75,374.8999938964844,373.95001220703125,373.95001220703125,234091
2026-04-23 04:12:00+00:00,374.20001220703125,374.20001220703125,374.8999938964844,374.20001220703125,374.8999938964844,39965
